actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
8882,25.442375,1332300,0.99725556,0.84521484,0.6157453,-13.454082,2261,339150,20650,1085.9194586277008,-145.06006,-0.59401727,2.8495417,2185.8496816116476
8964,31.297615,1344600,0.99749064,0.87890625,0.45518202,-16.657736,2283,342450,20836,1095.9392149448395,-168.8089,-0.404792,2.1919966,1684.2586288030418
9038,26.718739,1355700,0.9973688,0.8531494,0.55831075,-9.221028,2302,345300,21026,1105.977709054947,-153.5473,-0.52190036,2.7071738,572.405868304333
9123,25.960646,1368450,0.99739313,0.8529053,0.57467765,-19.856216,2323,348450,21212,1115.9851949214935,-159.38762,-0.5710913,2.8056345,2506.493762605513
9205,24.200518,1380750,0.9974086,0.8491211,0.59731305,-21.01002,2344,351600,21401,1126.1068124771118,-147.89813,-0.55753887,3.0355859,299.43039441732003
9290,28.230713,1393500,0.99741364,0.8588257,0.6062544,-16.173887,2366,354900,21589,1136.1085646152496,-147.25526,-0.5227027,7.714101,1649.332464947098
9363,25.227566,1404450,0.9974544,0.8632202,0.53819996,-18.253304,2384,357600,21778,1146.1362326145172,-153.61206,-0.5097368,2.1974354,2063.6023400804115
9445,26.667503,1416750,0.9972763,0.8305054,0.6700072,-20.503956,2405,360750,21966,1156.2720296382904,-144.45868,-0.6615609,2.2649932,301.2381857622036
9533,22.641653,1429950,0.99739766,0.8423462,0.628164,-9.938091,2427,364050,22162,1166.2837915420532,-139.86185,-0.6084582,2.2549157,1768.873882244407
9608,22.207901,1441200,0.9973326,0.8442993,0.6178123,-17.984493,2444,366600,22351,1176.3666758537292,-136.15012,-0.5863607,2.9540448,378.74865219127383
9696,20.451302,1454400,0.99732304,0.8239746,0.6769931,-15.358266,2467,370050,22545,1186.4478886127472,-132.49622,-0.62386096,2.9167666,394.56306295712704
9779,18.422272,1466850,0.9973564,0.83532715,0.6079707,-18.514187,2490,373500,22742,1196.521530866623,-134.23846,-0.62155163,3.3204863,375.27674542150146
9858,16.830011,1478700,0.99729776,0.82751465,0.6810744,-20.423306,2510,376500,22934,1206.5482149124146,-124.122086,-0.6597125,2.6692715,306.0268798387529
9945,17.842224,1491750,0.99708414,0.8187256,0.74426997,-15.978911,2533,379950,23127,1216.5764565467834,-108.75261,-0.64804375,6.0431023,2018.266174447193
10020,14.267438,1503000,0.99734926,0.8389282,0.68368816,-13.732628,2552,382800,23322,1226.578819990158,-113.31979,-0.67547554,2.1835663,1628.3421250576275
10109,13.753078,1516350,0.99729514,0.8184204,0.7366447,-21.683403,2573,385950,23515,1236.591111421585,-106.092896,-0.7172712,2.8952074,470.6083194103797
10192,16.122208,1528800,0.9973142,0.8257446,0.6913691,-19.11845,2595,389250,23709,1246.616281747818,-114.06662,-0.6522098,2.168826,1411.8818888526557
10271,13.921653,1540650,0.9972565,0.8067627,0.8017849,-15.700051,2614,392100,23898,1256.6347336769104,-94.52786,-0.759557,3.038795,2456.0859333540725
10356,13.975477,1553400,0.9973409,0.8239136,0.7271392,-17.092232,2635,395250,24091,1266.650420665741,-108.46422,-0.7277273,3.549981,2242.2875663033037
10429,12.853869,1564350,0.9973788,0.8204346,0.7150239,-19.113255,2655,398250,24285,1276.6762444972992,-99.63527,-0.66033936,2.185441,2460.904437110378
10517,11.503405,1577550,0.9972763,0.8000488,0.7865898,-18.35688,2678,401700,24478,1286.6949269771576,-91.406784,-0.730899,2.1387842,2307.197057079254
10603,9.618261,1590450,0.99720883,0.78601074,0.8589404,-18.825691,2698,404700,24669,1296.7224733829498,-77.71542,-0.8466082,1.9476995,1839.5061674250314
