actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
2191,328650,0.1674906,150,0.0,557,83550,0.5275893,0.6950799,0.5098673,341.8119665177856,0.0,0.0
2202,330300,0.15784115,150,0.0,559,83850,0.52144545,0.6792866,0.49496087,271.3401706157867,0.0,0.0
2208,331200,0.15266526,150,0.0,561,84150,0.52295727,0.6756225,0.49830803,301.09085479485094,0.0,0.0
2215,332250,0.27401075,150,0.0,563,84450,0.3839951,0.65800583,0.36741868,271.4430742162439,0.0,0.0
2225,333750,0.18877539,150,0.0,565,84750,0.49901775,0.68779314,0.49501958,292.92505275155463,0.0,0.0
2232,334800,0.14361799,150,0.0,567,85050,0.542777,0.686395,0.51712245,274.42653112231926,0.0,0.0
2243,336450,0.2573412,150,0.0,570,85500,0.39725584,0.65459704,0.391972,325.2479247625955,0.0,0.0
2253,337950,0.36711082,150,0.0,572,85800,0.28761604,0.65472686,0.28761604,294.7274729712194,0.0,0.0
2260,339000,0.179227,150,0.0,575,86250,0.48865813,0.6678851,0.46071142,335.4976187314726,0.0,0.0
2273,340950,0.16171473,150,0.0,578,86700,0.5334296,0.69514436,0.5075427,327.4354466507827,0.0,0.0
2283,342450,0.17850804,150,0.0,580,87000,0.4913628,0.66987085,0.46358514,281.1391678776537,0.0,0.0
2293,343950,0.16684514,150,0.0,583,87450,0.52265704,0.6895022,0.49325997,325.41009510223734,0.0,0.0
2306,345900,0.1762318,150,0.0,586,87900,0.5271414,0.7033732,0.50678355,278.6054000627049,0.0,0.0
2318,347700,0.16793966,150,0.0,589,88350,0.5395723,0.70751196,0.5127905,275.3076036452968,0.0,0.0
2329,349350,0.1678927,150,0.0,592,88800,0.51157916,0.67947185,0.48304623,326.12411619564995,0.0,0.0
2338,350700,0.1623792,150,0.0,594,89100,0.54184127,0.7042205,0.5145781,304.3485159550075,0.0,0.0
